type,gender,word,cn,forms,example
adj,,interessant,有趣的、令人感兴趣的,,Das ist aber interessant.
adv,,oft,经常、常常,,Schreibt ihr auch oft Mails?
v,,sehen,看、看见,er sieht,Was siehst du denn gerade?
n,der,Zug,火车,Pl. Züge,Der Zug fährt sehr schnell.
v,,ab/fahren,开出,er fährt ab,Wann fährt der Zug von Berlin ab?
n,die,Zahl,数字,Pl. Zahlen,Heute lernen wir Zahlen; eins; zwei; drei ...
n,das,Jahr,年、(年)岁,Pl. Jahre,Wie viele Tage hat ein Jahr?
adj,,alt,老的、旧的,,Ich bin 20 Jahre alt.
n,der,Dienstag,星期二,Pl. Dienstage,Morgen ist Dienstag.
n,der,Mittwoch,星期三,Pl. Mittwoche,Aber am Mittwoch habe ich Zeit.
n,die,Million,百万,Pl. Millionen,Tausend mal tausend ist eine Million.
n,die,Hochschule,高等学校、大学,Pl. Hochschulen,Wie viele Hochschulen gibt es jetzt in China?
n,die,Kunst,艺术、技巧,Pl. Künste,Musik ist (eine) Kunst.
n,die,Fachhochschule,应用技术大学,Pl. Fachhochschulen,Wie heißt Fachhochschule auf Chinesisch?
adv,,insgesamt,总共、合计,,Unsere Universität hat insgesamt 30 000 Studenten.
n,der,Ausländer,外国人(男),Pl. Ausländer,Da Shan; ein Ausländer; spricht sehr gut Chinesisch.
n,die,Ausländerin,外国人(女),Pl. Ausländerinnen,Da Shan; ein Ausländer; spricht sehr gut Chinesisch.
adv,,etwa,大约、将近,,Heute stehe ich etwa um halb sechs auf.
n,das,Ausland,外国,,Mein Freund studiert im Ausland.
