type,gender,word,cn,forms,example
n,die,Couch,长沙发椅、睡椅,Pl. Couches,Wang Hongliang möchte eine Couch für die neue Wohnung kaufen.
n,das,Weihnachten,圣诞节,Pl. Weihnachten,Weihnachten feiert man in Deutschland schon am 24. Dezember.
v,,gratulieren,祝贺、庆贺,,Ich gratuliere Ihnen herzlich zum Geburtstag!
n,die,Hochzeit,婚礼,Pl. Hochzeiten,Ich gratuliere euch ganz herzlich zur Hochzeit!
n,der,Erfolg,成功、成就,Pl. Erfolge,Der Lehrer gratuliert seinen Studenten zu ihrem Erfolg bei der Prüfung.
n,die,Reise,旅行,Pl. Reisen,Ich wünsche Ihnen eine gute Reise!
n,die,Fahrt,旅行、行程,Pl. Fahrten,Der Vater wünscht seinem Sohn gute Fahrt.
n,die,Besserung,好转、改变、变好,,Gute Besserung!
n,das,Vergnügen,愉快、高兴; 娱乐、消遣,Pl. Vergnügen,Die Sekretärin wünscht ihrem Chef viel Vergnügen im Urlaub.
n,das,Wochenende,周末,Pl. Wochenenden,Die Studenten wünschen sich ein schönes Wochenende.
n,das,Wörterbuch,字典,Pl. Wörterbücher,Wie viel kostet das Wörterbuch?
adv,,unterwegs,途中,,Man muss es unterwegs immer mitnehmen.
n,das,Theater,剧院,Pl. Theater,Der alte Mann geht oft ins Theater.
adj,,grundsätzlich,原则性的、基本的、一般的,,Herr Shao trinkt grundsätzlich keinen Alkohol.
n,die,Übergabe,递交、交出,Pl. Übergaben,Wissen Sie; wann die Übergabe des Wohnungsschlüssels ist?
n,der,Gastgeber,主人(男),Pl. Gastgeber,Das ist ein Geschenk für den Gastgeber.
n,die,Gastgeberin,主人(女),Pl. Gastgeberinnen,Das ist ein Geschenk für den Gastgeber.
n,die,Begrüßung,迎接、问候,Pl. Begrüßungen,Man gibt dem Gastgeber schon bei der Begrüßung das Geschenk.
adj,,typisch,典型的,,Typische Geschenke aus China bringen bestimmt Freude.
n,die,Freude,愉快、欢乐、高兴,Pl. Freuden,Ich habe immer Freude an der Arbeit.
v,,aus/packen,打开(包装); 取出,,Er packt das Geschenk sofort aus.
